country,year,GDP per capita
Germany,2004,44.1k
Germany,2005,44.4k
Germany,2006,46.1k
Germany,2007,47.4k
Germany,2008,47.9k
Germany,2009,45.2k
Germany,2010,47k
Djibouti,1990,3680
Djibouti,1991,3370
Djibouti,1992,3420
Djibouti,1993,3290
Djibouti,1994,3210
Djibouti,1995,3120
Djibouti,1996,2920
Djibouti,1997,2830
Djibouti,1998,2740
Djibouti,1999,2730
Djibouti,2000,2680
Djibouti,2001,2670
Djibouti,2002,2700
Djibouti,2003,2760
Djibouti,2004,2800
Djibouti,2005,2850
Djibouti,2006,2950
Djibouti,2007,3050
Djibouti,2008,3180
Djibouti,2009,3180
Djibouti,2010,3260
Dominica,1990,7080
Dominica,1991,7290
Dominica,1992,7520
Dominica,1993,7700
Dominica,1994,7790
Dominica,1995,8060
Dominica,1996,8400
Dominica,1997,8680
Dominica,1998,9080
Dominica,1999,9190
Dominica,2000,9470
Dominica,2001,9540
Dominica,2002,9310
Dominica,2003,9930
Dominica,2004,10.2k
Dominica,2005,10.3k
Dominica,2006,10.8k
Dominica,2007,11.5k
Dominica,2008,12.4k
Dominica,2009,12.2k
Dominica,2010,12.3k
Denmark,1990,39.5k
Denmark,1991,40k
Denmark,1992,40.7k
Denmark,1993,40.6k
Denmark,1994,42.6k
Denmark,1995,43.7k
Denmark,1996,44.7k
Denmark,1997,46k
Denmark,1998,46.8k
Denmark,1999,48k
Denmark,2000,49.6k
Denmark,2001,49.8k
Denmark,2002,49.8k
Denmark,2003,49.9k
Denmark,2004,51k
Denmark,2005,52k
Denmark,2006,53.7k
Denmark,2007,53.9k
Denmark,2008,53.2k
Denmark,2009,50.2k
Denmark,2010,50.8k
Dominican Republic,1990,5990
Dominican Republic,1991,5960
Dominican Republic,1992,6450
Dominican Republic,1993,6830
Dominican Republic,1994,6920
Dominican Republic,1995,7210
Dominican Republic,1996,7560
Dominican Republic,1997,8110
Dominican Republic,1998,8560
Dominican Republic,1999,8960
Dominican Republic,2000,9270
Dominican Republic,2001,9370
Dominican Republic,2002,9680
Dominican Republic,2003,9430
Dominican Republic,2004,9530
Dominican Republic,2005,10.3k
Dominican Republic,2006,11.1k
Dominican Republic,2007,11.8k
Dominican Republic,2008,12k
Dominican Republic,2009,11.9k
Dominican Republic,2010,12.7k
Algeria,1990,8100
Algeria,1991,7930
Algeria,1992,7990
Algeria,1993,7740
Algeria,1994,7600
Algeria,1995,7820
Algeria,1996,8070
Algeria,1997,8090
Algeria,1998,8430
Algeria,1999,8630
Algeria,2000,8880
Algeria,2001,9060
Algeria,2002,9460
Algeria,2003,10k
Algeria,2004,10.3k
Algeria,2005,10.8k
Algeria,2006,10.8k
Algeria,2007,10.9k
Algeria,2008,11k
